time, reference_pitch, command_pitch, quaternion_x, quaternion_y, quaternion_z, quaternion_w, pitch, pitch_slow, speed_x
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
0.010497234994545579, 3.6, 3.5999999046325684, -0.00225830078125, -0.00225830078125, -0.13458251953125, 0.9908447265625, -0.29124180106187597, -0.5111686894411097, 0.04325892144081001
0.020354092004708946, 3.6, 3.5999999046325684, -0.00225830078125, -0.00225830078125, -0.13458251953125, 0.9908447265625, -0.29124180106187597, -0.5111686894411097, 0.04325892144081001
0.03038836200721562, 3.6, 3.5999999046325684, -0.00225830078125, -0.00225830078125, -0.13458251953125, 0.9908447265625, -0.29124180106187597, -0.2655949474445606, 0.04325892144081001
0.04019334493204951, 3.6, 3.5999999046325684, -0.00238037109375, -0.0020751953125, -0.1343994140625, 0.99090576171875, -0.272298469128367, -0.2655949474445606, 0.04325008894936353
0.05034409195650369, 3.6, 3.5999999046325684, -0.00238037109375, -0.0020751953125, -0.1343994140625, 0.99090576171875, -0.272298469128367, -0.2655949474445606, 0.04325008894936353
0.06022644892800599, 3.6, 3.5999999046325684, -0.00238037109375, -0.0020751953125, -0.1343994140625, 0.99090576171875, -0.272298469128367, -0.2655949474445606, 0.04325008894936353
0.07066917791962624, 3.6, 3.5999999046325684, -0.00250244140625, -0.00189208984375, -0.1341552734375, 0.99090576171875, -0.2533167467708624, -0.2655949474445606, 0.04323779067806593
0.08018732501659542, 3.6, 3.5999999046325684, -0.00250244140625, -0.00189208984375, -0.1341552734375, 0.99090576171875, -0.2533167467708624, -0.2655949474445606, 0.04323779067806593
0.09018895297776908, 3.6, 3.5999999046325684, -0.00250244140625, -0.00189208984375, -0.1341552734375, 0.99090576171875, -0.2533167467708624, -0.2655949474445606, 0.04323779067806593
0.10053979593794793, 3.6, 3.5999999046325684, -0.00250244140625, -0.00189208984375, -0.1341552734375, 0.99090576171875, -0.2533167467708624, -0.2655949474445606, 0.04323779067806593
0.11137962993234396, 3.6, 3.5999999046325684, -0.00244140625, -0.00164794921875, -0.13433837890625, 0.99090576171875, -0.22470739643453788, -0.2655949474445606, 0.044286990232110024
0.12060249596834183, 3.6, 3.5999999046325684, -0.00244140625, -0.00164794921875, -0.13433837890625, 0.99090576171875, -0.22470739643453788, -0.2655949474445606, 0.044286990232110024
0.13029070000629872, 3.6, 3.5999999046325684, -0.00244140625, -0.00164794921875, -0.13433837890625, 0.99090576171875, -0.22470739643453788, -0.2655949474445606, 0.044286990232110024
0.14019303699024022, 3.6, 3.5999999046325684, -0.00244140625, -0.00164794921875, -0.13433837890625, 0.99090576171875, -0.22470739643453788, -0.2655949474445606, 0.044286990232110024
0.15017198992427438, 3.6, 3.5999999046325684, -0.00201416015625, -0.00128173828125, -0.1343994140625, 0.99090576171875, -0.17656109637149628, -0.2655949474445606, 0.04052545701351649
0.16039028391242027, 3.6, 3.5999999046325684, -0.00201416015625, -0.00128173828125, -0.1343994140625, 0.99090576171875, -0.17656109637149628, -0.2655949474445606, 0.04052545701351649
0.17025185201782733, 3.6, 3.5999999046325684, -0.00201416015625, -0.00128173828125, -0.1343994140625, 0.99090576171875, -0.17656109637149628, -0.2655949474445606, 0.04052545701351649
0.18015828891657293, 3.6, 3.5999999046325684, -0.00164794921875, 0.0003662109375, -0.134521484375, 0.99090576171875, 0.01617986458515835, -0.2655949474445606, 0.040532963784414816
0.1904766489751637, 3.6, 3.5999999046325684, -0.00164794921875, 0.0003662109375, -0.134521484375, 0.99090576171875, 0.01617986458515835, -0.2655949474445606, 0.040532963784414816
0.20018244592938572, 3.6, 3.5999999046325684, -0.00164794921875, 0.0003662109375, -0.134521484375, 0.99090576171875, 0.01617986458515835, -0.2655949474445606, 0.040532963784414816
0.21022173995152116, 3.6, 3.5999999046325684, -0.0008544921875, 0.0048828125, -0.13458251953125, 0.9908447265625, 0.5412365080868453, -0.2655949474445606, 0.04534336908181251
0.22037399699911475, 3.6, 3.5999999046325684, -0.0008544921875, 0.0048828125, -0.13458251953125, 0.9908447265625, 0.5412365080868453, 1.4120610360122712, 0.04534336908181251
0.2302796629955992, 3.6, 3.5999999046325684, -0.0008544921875, 0.0048828125, -0.13458251953125, 0.9908447265625, 0.5412365080868453, 1.4120610360122712, 0.04534336908181251
0.24023077194578946, 3.6, 3.5999999046325684, 0.0, 0.00933837890625, -0.13446044921875, 0.9908447265625, 1.0603628735083552, 1.4120610360122712, 0.05014217198099244
0.2502128690248355, 3.6, 3.5999999046325684, 0.0, 0.00933837890625, -0.13446044921875, 0.9908447265625, 1.0603628735083552, 1.4120610360122712, 0.05014217198099244
0.26021098101045936, 3.6, 3.5999999046325684, 0.0, 0.00933837890625, -0.13446044921875, 0.9908447265625, 1.0603628735083552, 1.4120610360122712, 0.05014217198099244
0.27051617798861116, 3.6, 3.5999999046325684, 0.00067138671875, 0.0137939453125, -0.13427734375, 0.99078369140625, 1.5766313852681384, 1.4120610360122712, 0.0576605198089542
0.28051208797842264, 3.6, 3.5999999046325684, 0.00067138671875, 0.0137939453125, -0.13427734375, 0.99078369140625, 1.5766313852681384, 1.4120610360122712, 0.0576605198089542
0.29027832800056785, 3.6, 3.5999999046325684, 0.00067138671875, 0.0137939453125, -0.13427734375, 0.99078369140625, 1.5766313852681384, 1.4120610360122712, 0.0576605198089542
0.3002429729094729, 3.6, 3.5999999046325684, 0.00067138671875, 0.0137939453125, -0.13427734375, 0.99078369140625, 1.5766313852681384, 1.4120610360122712, 0.0576605198089542
