time, reference_roll, reference_pitch, reference_yaw, reference_vertical, command_roll, command_pitch, command_yaw, command_vertical, quaternion_x, quaternion_y, quaternion_z, quaternion_w, roll, pitch, yaw, roll_slow, pitch_slow, yaw_slow, speed_x, speed_y, speed_z, altitude, altitude_above_to, translation_x, translation_y, translation_z, rotation_x, rotation_y, rotation_z, rotation_w
1677060886.252849, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.254220, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.254994, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.255641, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.256791, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.257934, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.258921, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.259682, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.260785, 0.000000, 0.000000, 0.000000, 0.000000, -0.000389, -0.050269, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.261674, 0.000000, 0.000000, 0.000000, 0.000000, -0.000389, -0.050269, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
1677060886.262681, 0.000000, 0.000000, 0.000000, 0.000000, -0.000389, -0.050269, 0.000000, 0.000000, 0.002563, 0.002319, -0.922546, 0.385742, -0.131881, 0.373524, -134.614074, -0.200157, 0.480164, -134.650213, 0.005524, -0.000037, -0.000000, 1.107773, 1.097621, -291.444672, -754.097046, 1172.999756, -0.028992, -0.010488, 0.065859, 0.997352
