time, reference_roll, command_roll, quaternion_x, quaternion_y, quaternion_z, quaternion_w, roll, roll_slow, speed_y
0.6101494800532237, 3.6, 3.5999999046325684, 0.004880215507000685, -0.005635288078337908, -0.7396963834762573, 0.6728995442390442, 0.854002009376831, 1.9600773153651305, 0.008139913460077688
0.6202892350265756, 3.6, 3.5999999046325684, 0.008731698617339134, -0.010665331035852432, -0.7399535775184631, 0.6725167036056519, 1.5774463119793918, 1.9600773153651305, 0.000774738248892765
0.6301892399787903, 3.6, 3.5999999046325684, 0.008731698617339134, -0.010665331035852432, -0.7399535775184631, 0.6725167036056519, 1.5774463119793918, 1.9600773153651305, 0.000774738248892765
0.6401797609869391, 3.6, 3.5999999046325684, 0.008731698617339134, -0.010665331035852432, -0.7399535775184631, 0.6725167036056519, 1.5774463119793918, 1.9600773153651305, 0.000774738248892765
0.650328335002996, 3.6, 3.5999999046325684, 0.008731698617339134, -0.010665331035852432, -0.7399535775184631, 0.6725167036056519, 1.5774463119793918, 1.9600773153651305, 0.000774738248892765
0.6608700499637052, 3.6, 3.5999999046325684, 0.008731698617339134, -0.010665331035852432, -0.7399535775184631, 0.6725167036056519, 1.5774463119793918, 1.9600773153651305, 0.000774738248892765
0.6703533780528232, 3.6, 3.5999999046325684, 0.008731698617339134, -0.010665331035852432, -0.7399535775184631, 0.6725167036056519, 1.5774463119793918, 3.3239365324658583, 0.000774738248892765
0.6802291710628197, 3.6, 3.5999999046325684, 0.01037049200385809, -0.014319207519292831, -0.7402438521385193, 0.6721060872077942, 2.0137778918013027, 3.3239365324658583, -0.007073821574249484
0.6902145970379934, 3.6, 3.5999999046325684, 0.01037049200385809, -0.014319207519292831, -0.7402438521385193, 0.6721060872077942, 2.0137778918013027, 3.3239365324658583, -0.007073821574249484
0.7001677779480815, 3.6, 3.5999999046325684, 0.010891545563936234, -0.01655631884932518, -0.74071204662323, 0.6715303063392639, 2.2440279670518275, 3.3239365324658583, -0.01758070589419419
0.7102515499573201, 3.6, 3.5999999046325684, 0.010891545563936234, -0.01655631884932518, -0.74071204662323, 0.6715303063392639, 2.2440279670518275, 3.3239365324658583, -0.01758070589419419
0.7201974829658866, 3.6, 3.5999999046325684, 0.010528196580708027, -0.016519863158464432, -0.74111407995224, 0.6710933446884155, 2.213189840823612, 3.3239365324658583, -0.028067779292308415
0.7301681929966435, 3.6, 3.5999999046325684, 0.009953024797141552, -0.01565130427479744, -0.7412683367729187, 0.670952558517456, 2.0952213165507647, 3.3239365324658583, -0.03651941386076539
0.7402082569897175, 3.6, 3.5999999046325684, 0.009953024797141552, -0.01565130427479744, -0.7412683367729187, 0.670952558517456, 2.0952213165507647, 3.3239365324658583, -0.03651941386076539
