time, reference_yaw, command_yaw, quaternion_x, quaternion_y, quaternion_z, quaternion_w, yaw, yaw_slow
4.03020562697202, 0.0, 0.0, 0.00042724609375, -0.0089111328125, 0.3150634765625, 0.948974609375, 36.73160665943771, 49.778886539011076
4.040179049014114, 0.0, 0.0, 0.00042724609375, -0.0089111328125, 0.3150634765625, 0.948974609375, 36.73160665943771, 49.778886539011076
4.050156612996943, 0.0, 0.0, 0.00042724609375, -0.0089111328125, 0.3150634765625, 0.948974609375, 36.73160665943771, 49.778886539011076
4.060467100003734, 0.0, 0.0, -0.000244140625, -0.007568359375, 0.264892578125, 0.96417236328125, 30.721920386705882, 49.778886539011076
4.070520629989915, 0.0, 0.0, -0.000244140625, -0.007568359375, 0.264892578125, 0.96417236328125, 30.721920386705882, 49.778886539011076
4.080351028009318, 0.0, 0.0, -0.000244140625, -0.007568359375, 0.264892578125, 0.96417236328125, 30.721920386705882, 49.778886539011076
4.0903186679352075, 0.0, 0.0, 0.0, -0.00531005859375, 0.19683837890625, 0.98040771484375, 22.70493288003637, 49.778886539011076
4.100311508984305, 0.0, 0.0, 0.0, -0.00531005859375, 0.19683837890625, 0.98040771484375, 22.70493288003637, 49.778886539011076
4.110439131967723, 0.0, 0.0, 0.0, -0.00531005859375, 0.19683837890625, 0.98040771484375, 22.70493288003637, 9.71057983452374
4.12026303098537, 0.0, 0.0, 0.0, -0.00531005859375, 0.19683837890625, 0.98040771484375, 22.70493288003637, 9.71057983452374
4.130146489944309, 0.0, 0.0, 0.000732421875, -0.00323486328125, 0.1451416015625, 0.9893798828125, 16.690548506070012, 9.71057983452374
4.1401797669241205, 0.0, 0.0, 0.000732421875, -0.00323486328125, 0.1451416015625, 0.9893798828125, 16.690548506070012, 9.71057983452374
4.15024607302621, 0.0, 0.0, 0.000732421875, -0.00323486328125, 0.1451416015625, 0.9893798828125, 16.690548506070012, 9.71057983452374
4.16017607098911, 0.0, 0.0, 0.00286865234375, -0.00048828125, 0.0845947265625, 0.99639892578125, 9.705129532182134, 9.71057983452374
4.170156224980019, 0.0, 0.0, 0.00286865234375, -0.00048828125, 0.0845947265625, 0.99639892578125, 9.705129532182134, 9.71057983452374
4.1802752369549125, 0.0, 0.0, 0.00286865234375, -0.00048828125, 0.0845947265625, 0.99639892578125, 9.705129532182134, 9.71057983452374
4.190382294007577, 0.0, 0.0, 0.00640869140625, 0.00250244140625, 0.01690673828125, 0.99981689453125, 1.9392449918138266, 9.71057983452374
4.200144742964767, 0.0, 0.0, 0.00640869140625, 0.00250244140625, 0.01690673828125, 0.99981689453125, 1.9392449918138266, 9.71057983452374
4.210170401027426, 0.0, 0.0, 0.00640869140625, 0.00250244140625, 0.01690673828125, 0.99981689453125, 1.9392449918138266, 9.71057983452374
4.220336513011716, 0.0, 0.0, 0.00640869140625, 0.00250244140625, 0.01690673828125, 0.99981689453125, 1.9392449918138266, 9.71057983452374
4.2301515699364245, 0.0, 0.0, 0.0084228515625, 0.00408935546875, -0.02337646484375, 0.9996337890625, -2.6748876154755767, 9.71057983452374
4.240145126008429, 0.0, 0.0, 0.0084228515625, 0.00408935546875, -0.02337646484375, 0.9996337890625, -2.6748876154755767, 9.71057983452374
4.25027208798565, 0.0, 0.0, 0.010009765625, 0.00543212890625, -0.068115234375, 0.99755859375, -7.804846185735699, 9.71057983452374
4.2601909870281816, 0.0, 0.0, 0.010009765625, 0.00543212890625, -0.068115234375, 0.99755859375, -7.804846185735699, 9.71057983452374
4.270145445945673, 0.0, 0.0, 0.010009765625, 0.00543212890625, -0.068115234375, 0.99755859375, -7.804846185735699, 9.71057983452374
4.280315096955746, 0.0, 0.0, 0.010009765625, 0.00543212890625, -0.068115234375, 0.99755859375, -7.804846185735699, 9.71057983452374
4.29035456199199, 0.0, 0.0, 0.0106201171875, 0.0059814453125, -0.120849609375, 0.9925537109375, -13.87461864044932, 9.71057983452374
4.3002815649379045, 0.0, 0.0, 0.0106201171875, 0.0059814453125, -0.120849609375, 0.9925537109375, -13.87461864044932, 9.71057983452374
4.310379317961633, 0.0, 0.0, 0.0106201171875, 0.0059814453125, -0.120849609375, 0.9925537109375, -13.87461864044932, -21.701783738576832
4.3202561479993165, 0.0, 0.0, 0.00994873046875, 0.00555419921875, -0.16009521484375, 0.98699951171875, -18.418178463726807, -21.701783738576832
4.331030149012804, 0.0, 0.0, 0.00994873046875, 0.00555419921875, -0.16009521484375, 0.98699951171875, -18.418178463726807, -21.701783738576832
4.3401631659362465, 0.0, 0.0, 0.00994873046875, 0.00555419921875, -0.16009521484375, 0.98699951171875, -18.418178463726807, -21.701783738576832
4.350317621952854, 0.0, 0.0, 0.008056640625, 0.0048828125, -0.188232421875, 0.9820556640625, -21.694738099286994, -21.701783738576832
4.360194913926534, 0.0, 0.0, 0.008056640625, 0.0048828125, -0.188232421875, 0.9820556640625, -21.694738099286994, -21.701783738576832
4.371538094943389, 0.0, 0.0, 0.008056640625, 0.0048828125, -0.188232421875, 0.9820556640625, -21.694738099286994, -21.701783738576832
4.380195386009291, 0.0, 0.0, 0.008056640625, 0.0048828125, -0.188232421875, 0.9820556640625, -21.694738099286994, -21.701783738576832
4.390617831028067, 0.0, 0.0, 0.008056640625, 0.0048828125, -0.188232421875, 0.9820556640625, -21.694738099286994, -21.701783738576832
4.40027778595686, 0.0, 0.0, 0.008056640625, 0.0048828125, -0.188232421875, 0.9820556640625, -21.694738099286994, -21.701783738576832
4.410347803961486, 0.0, 0.0, 0.00567626953125, 0.0040283203125, -0.21575927734375, 0.97637939453125, -24.91705295744635, -21.701783738576832
4.42017192102503, 0.0, 0.0, 0.00567626953125, 0.0040283203125, -0.21575927734375, 0.97637939453125, -24.91705295744635, -21.701783738576832
4.43021530599799, 0.0, 0.0, 0.0030517578125, 0.00341796875, -0.23773193359375, 0.9713134765625, -27.504571045860192, -21.701783738576832
4.4402540809242055, 0.0, 0.0, 0.0030517578125, 0.00341796875, -0.23773193359375, 0.9713134765625, -27.504571045860192, -21.701783738576832
